銀行,年月,定存利率-三個月-固定,定存利率-一年期-固定
第一銀行,090/01,4.600,5.000
第一銀行,090/02,4.500,4.800
第一銀行,090/03,4.300,4.650
第一銀行,090/04,3.900,4.300
第一銀行,090/05,3.750,4.050
第一銀行,090/06,3.750,4.050
第一銀行,090/07,3.550,3.850
第一銀行,090/08,3.300,3.600
第一銀行,090/09,2.950,3.100
第一銀行,090/10,2.600,2.800
第一銀行,090/11,2.200,2.450
第一銀行,090/12,2.200,2.450
第一銀行,091/01,2.050,2.300
第一銀行,091/02,2.050,2.300
第一銀行,091/03,2.050,2.300
第一銀行,091/04,2.100,2.350
第一銀行,091/05,2.100,2.350
第一銀行,091/06,2.050,2.300
第一銀行,091/07,1.800,2.100
第一銀行,091/08,1.800,2.100
第一銀行,091/09,1.800,2.100
第一銀行,091/10,1.800,2.100
第一銀行,091/11,1.550,1.850
第一銀行,091/12,1.550,1.850
第一銀行,092/01,1.250,1.550
第一銀行,092/02,1.250,1.550
第一銀行,092/03,1.250,1.550
第一銀行,092/04,1.250,1.550
第一銀行,092/05,1.250,1.525
第一銀行,092/06,1.250,1.525
第一銀行,092/07,1.125,1.400
第一銀行,092/08,1.125,1.400
第一銀行,092/09,1.125,1.400
第一銀行,092/10,1.125,1.400
第一銀行,092/11,1.125,1.400
第一銀行,092/12,1.125,1.400
第一銀行,093/01,1.125,1.400
第一銀行,093/02,1.125,1.400
第一銀行,093/03,1.125,1.400
第一銀行,093/04,1.125,1.400
第一銀行,093/05,1.125,1.400
第一銀行,093/06,1.125,1.400
第一銀行,093/07,1.125,1.400
第一銀行,093/08,1.125,1.400
第一銀行,093/09,1.125,1.400
第一銀行,093/10,1.175,1.525
第一銀行,093/11,1.175,1.525
第一銀行,093/12,1.175,1.525
第一銀行,094/01,1.240,1.595
第一銀行,094/02,1.240,1.595
第一銀行,094/03,1.310,1.690
第一銀行,094/04,1.310,1.690
第一銀行,094/05,1.310,1.690
第一銀行,094/06,1.310,1.690
第一銀行,094/07,1.390,1.790
第一銀行,094/08,1.390,1.790
第一銀行,094/09,1.470,1.890
第一銀行,094/10,1.470,1.890
第一銀行,094/11,1.470,1.890
第一銀行,094/12,1.550,1.990
第一銀行,095/01,1.550,1.990
第一銀行,095/02,1.550,1.990
第一銀行,095/03,1.550,1.990
第一銀行,095/04,1.620,2.060
第一銀行,095/05,1.620,2.060
第一銀行,095/06,1.620,2.060
第一銀行,095/07,1.690,2.130
第一銀行,095/08,1.690,2.130
第一銀行,095/09,1.690,2.130
第一銀行,095/10,1.760,2.200
第一銀行,095/11,1.760,2.200
第一銀行,095/12,1.760,2.200
第一銀行,096/01,1.790,2.230
第一銀行,096/02,1.790,2.230
第一銀行,096/03,1.790,2.230
第一銀行,096/04,1.820,2.260
第一銀行,096/05,1.820,2.260
第一銀行,096/06,2.020,2.460
第一銀行,096/07,2.020,2.460
第一銀行,096/08,2.020,2.460
第一銀行,096/09,2.090,2.530
第一銀行,096/10,2.090,2.530
第一銀行,096/11,2.090,2.530
第一銀行,096/12,2.160,2.610
第一銀行,097/01,2.160,2.610
第一銀行,097/02,2.160,2.610
第一銀行,097/03,2.160,2.610
第一銀行,097/04,2.200,2.650
第一銀行,097/05,2.200,2.650
第一銀行,097/06,2.200,2.650
第一銀行,097/07,2.260,2.710
第一銀行,097/08,2.260,2.710
第一銀行,097/09,2.260,2.710
第一銀行,097/10,2.110,2.555
第一銀行,097/11,1.755,2.170
第一銀行,097/12,1.005,1.420
第一銀行,098/01,0.505,0.920
第一銀行,098/02,0.405,0.770
第一銀行,098/03,0.405,0.770
第一銀行,098/04,0.405,0.770
第一銀行,098/05,0.405,0.770
第一銀行,098/06,0.405,0.770
第一銀行,098/07,0.405,0.770
第一銀行,098/08,0.405,0.770
第一銀行,098/09,0.405,0.770
第一銀行,098/10,0.530,0.900
第一銀行,098/11,0.530,0.900
第一銀行,098/12,0.530,0.900
第一銀行,099/01,0.530,0.900
第一銀行,099/02,0.530,0.900
第一銀行,099/03,0.530,0.900
第一銀行,099/04,0.530,0.900
第一銀行,099/05,0.530,0.900
第一銀行,099/06,0.655,1.025
第一銀行,099/07,0.655,1.025
第一銀行,099/08,0.655,1.025
第一銀行,099/09,0.655,1.025
第一銀行,099/10,0.740,1.130
第一銀行,099/11,0.740,1.130
第一銀行,099/12,0.740,1.130
第一銀行,100/01,0.790,1.190
第一銀行,100/02,0.790,1.190
第一銀行,100/03,0.790,1.190
第一銀行,100/04,0.870,1.280
第一銀行,100/05,0.870,1.280
第一銀行,100/06,0.870,1.280
第一銀行,100/07,0.940,1.355
第一銀行,100/08,0.940,1.355
第一銀行,100/09,0.940,1.355
第一銀行,100/10,0.940,1.355
第一銀行,100/11,0.940,1.355
第一銀行,100/12,0.940,1.355
第一銀行,101/01,0.940,1.355
第一銀行,101/02,0.940,1.355
第一銀行,101/03,0.940,1.355
第一銀行,101/04,0.940,1.355
第一銀行,101/05,0.940,1.355
第一銀行,101/06,0.940,1.355
第一銀行,101/07,0.940,1.355
第一銀行,101/08,0.940,1.355
第一銀行,101/09,0.940,1.355
第一銀行,101/10,0.940,1.355
第一銀行,101/11,0.940,1.355
第一銀行,101/12,0.940,1.355
第一銀行,102/01,0.940,1.355
第一銀行,102/02,0.940,1.355
第一銀行,102/03,0.940,1.355
第一銀行,102/04,0.940,1.355
第一銀行,102/05,0.940,1.355
第一銀行,102/06,0.940,1.355
第一銀行,102/07,0.940,1.355
第一銀行,102/08,0.940,1.355
第一銀行,102/09,0.940,1.355
第一銀行,102/10,0.940,1.355
第一銀行,102/11,0.940,1.355
第一銀行,102/12,0.940,1.355
第一銀行,103/01,0.940,1.355
第一銀行,103/02,0.940,1.355
第一銀行,103/03,0.940,1.355
第一銀行,103/04,0.940,1.355
第一銀行,103/05,0.940,1.355
第一銀行,103/06,0.940,1.355
第一銀行,103/07,0.940,1.355
第一銀行,103/08,0.940,1.355
第一銀行,103/09,0.940,1.355
第一銀行,103/10,0.940,1.355
第一銀行,103/11,0.940,1.355
第一銀行,103/12,0.940,1.355
第一銀行,104/01,0.940,1.355
第一銀行,104/02,0.940,1.355
第一銀行,104/03,0.940,1.355
第一銀行,104/04,0.940,1.355
第一銀行,104/05,0.940,1.355
第一銀行,104/06,0.940,1.355
第一銀行,104/07,0.940,1.355
第一銀行,104/08,0.940,1.355
第一銀行,104/09,0.870,1.275
第一銀行,104/10,0.870,1.275
第一銀行,104/11,0.870,1.275
第一銀行,104/12,0.800,1.205
第一銀行,105/01,0.800,1.205
第一銀行,105/02,0.800,1.205
第一銀行,105/03,0.730,1.125
第一銀行,105/04,0.730,1.125
第一銀行,105/05,0.730,1.125
第一銀行,105/06,0.730,1.125
第一銀行,105/07,0.660,1.045
第一銀行,105/08,0.660,1.045
第一銀行,105/09,0.660,1.045
第一銀行,105/10,0.660,1.045
第一銀行,105/11,0.660,1.045
第一銀行,105/12,0.660,1.045
第一銀行,106/01,0.660,1.045
第一銀行,106/02,0.660,1.045
第一銀行,106/03,0.660,1.045
第一銀行,106/04,0.660,1.045
第一銀行,106/05,0.660,1.045
第一銀行,106/06,0.660,1.045
第一銀行,106/07,0.660,1.045
第一銀行,106/08,0.660,1.045
第一銀行,106/09,0.660,1.045
第一銀行,106/10,0.660,1.045
第一銀行,106/11,0.660,1.045
第一銀行,106/12,0.660,1.045
第一銀行,107/01,0.660,1.045
第一銀行,107/02,0.660,1.045
第一銀行,107/03,0.660,1.045
第一銀行,107/04,0.660,1.045
第一銀行,107/05,0.660,1.045
第一銀行,107/06,0.660,1.045
第一銀行,107/07,0.660,1.045
第一銀行,107/08,0.660,1.045
臺灣銀行,090/01,4.600,5.000
臺灣銀行,090/02,4.450,4.800
臺灣銀行,090/03,4.350,4.690
臺灣銀行,090/04,3.900,4.275
臺灣銀行,090/05,3.775,4.150
臺灣銀行,090/06,3.775,4.150
臺灣銀行,090/07,3.550,3.900
臺灣銀行,090/08,3.300,3.650
臺灣銀行,090/09,2.900,3.150
臺灣銀行,090/10,2.550,2.800
臺灣銀行,090/11,2.250,2.500
臺灣銀行,090/12,2.250,2.500
臺灣銀行,091/01,2.050,2.300
臺灣銀行,091/02,2.050,2.300
臺灣銀行,091/03,2.050,2.300
臺灣銀行,091/04,2.125,2.375
臺灣銀行,091/05,2.125,2.375
臺灣銀行,091/06,2.125,2.375
臺灣銀行,091/07,1.850,2.125
臺灣銀行,091/08,1.850,2.125
臺灣銀行,091/09,1.850,2.125
臺灣銀行,091/10,1.850,2.125
臺灣銀行,091/11,1.600,1.875
臺灣銀行,091/12,1.600,1.875
臺灣銀行,092/01,1.250,1.525
臺灣銀行,092/02,1.250,1.525
臺灣銀行,092/03,1.250,1.525
臺灣銀行,092/04,1.250,1.525
臺灣銀行,092/05,1.250,1.525
臺灣銀行,092/06,1.250,1.525
臺灣銀行,092/07,1.125,1.400
臺灣銀行,092/08,1.125,1.400
臺灣銀行,092/09,1.125,1.400
臺灣銀行,092/10,1.125,1.400
臺灣銀行,092/11,1.125,1.400
臺灣銀行,092/12,1.125,1.400
臺灣銀行,093/01,1.125,1.400
臺灣銀行,093/02,1.125,1.400
臺灣銀行,093/03,1.125,1.400
臺灣銀行,093/04,1.125,1.400
臺灣銀行,093/05,1.125,1.400
臺灣銀行,093/06,1.125,1.400
臺灣銀行,093/07,1.125,1.400
臺灣銀行,093/08,1.125,1.400
臺灣銀行,093/09,1.125,1.400
臺灣銀行,093/10,1.200,1.525
臺灣銀行,093/11,1.200,1.525
臺灣銀行,093/12,1.200,1.525
臺灣銀行,094/01,1.265,1.590
臺灣銀行,094/02,1.265,1.590
臺灣銀行,094/03,1.335,1.690
臺灣銀行,094/04,1.335,1.690
臺灣銀行,094/05,1.335,1.690
臺灣銀行,094/06,1.335,1.690
臺灣銀行,094/07,1.415,1.790
臺灣銀行,094/08,1.415,1.790
臺灣銀行,094/09,1.495,1.890
臺灣銀行,094/10,1.495,1.890
臺灣銀行,094/11,1.495,1.890
臺灣銀行,094/12,1.575,1.990
臺灣銀行,095/01,1.575,1.990
臺灣銀行,095/02,1.575,1.990
臺灣銀行,095/03,1.575,1.990
臺灣銀行,095/04,1.645,2.060
臺灣銀行,095/05,1.645,2.060
臺灣銀行,095/06,1.645,2.060
臺灣銀行,095/07,1.715,2.130
臺灣銀行,095/08,1.715,2.130
臺灣銀行,095/09,1.715,2.130
臺灣銀行,095/10,1.785,2.200
臺灣銀行,095/11,1.785,2.200
臺灣銀行,095/12,1.785,2.200
臺灣銀行,096/01,1.815,2.230
臺灣銀行,096/02,1.815,2.230
臺灣銀行,096/03,1.815,2.230
臺灣銀行,096/04,1.845,2.260
臺灣銀行,096/05,1.845,2.260
臺灣銀行,096/06,2.055,2.515
臺灣銀行,096/07,2.055,2.515
臺灣銀行,096/08,2.055,2.515
臺灣銀行,096/09,2.125,2.575
臺灣銀行,096/10,2.125,2.575
臺灣銀行,096/11,2.125,2.575
臺灣銀行,096/12,2.195,2.635
臺灣銀行,097/01,2.195,2.635
臺灣銀行,097/02,2.195,2.635
臺灣銀行,097/03,2.195,2.635
臺灣銀行,097/04,2.235,2.675
臺灣銀行,097/05,2.235,2.675
臺灣銀行,097/06,2.295,2.735
臺灣銀行,097/07,2.295,2.735
臺灣銀行,097/08,2.295,2.735
臺灣銀行,097/09,2.245,2.685
臺灣銀行,097/10,2.005,2.420
臺灣銀行,097/11,1.755,2.170
臺灣銀行,097/12,1.005,1.420
臺灣銀行,098/01,0.545,0.920
臺灣銀行,098/02,0.495,0.770
臺灣銀行,098/03,0.495,0.770
臺灣銀行,098/04,0.495,0.770
臺灣銀行,098/05,0.495,0.770
臺灣銀行,098/06,0.495,0.770
臺灣銀行,098/07,0.495,0.770
臺灣銀行,098/08,0.495,0.770
臺灣銀行,098/09,0.495,0.770
臺灣銀行,098/10,0.610,0.900
臺灣銀行,098/11,0.610,0.900
臺灣銀行,098/12,0.610,0.900
臺灣銀行,099/01,0.610,0.900
臺灣銀行,099/02,0.610,0.900
臺灣銀行,099/03,0.610,0.900
臺灣銀行,099/04,0.610,0.900
臺灣銀行,099/05,0.610,0.900
臺灣銀行,099/06,0.690,1.025
臺灣銀行,099/07,0.690,1.025
臺灣銀行,099/08,0.690,1.025
臺灣銀行,099/09,0.690,1.025
臺灣銀行,099/10,0.740,1.135
臺灣銀行,099/11,0.740,1.135
臺灣銀行,099/12,0.740,1.135
臺灣銀行,100/01,0.790,1.185
臺灣銀行,100/02,0.790,1.185
臺灣銀行,100/03,0.790,1.185
臺灣銀行,100/04,0.870,1.275
臺灣銀行,100/05,0.870,1.275
臺灣銀行,100/06,0.870,1.275
臺灣銀行,100/07,0.940,1.355
臺灣銀行,100/08,0.940,1.355
臺灣銀行,100/09,0.940,1.355
臺灣銀行,100/10,0.940,1.355
臺灣銀行,100/11,0.940,1.355
臺灣銀行,100/12,0.940,1.355
臺灣銀行,101/01,0.940,1.355
臺灣銀行,101/02,0.940,1.355
臺灣銀行,101/03,0.940,1.355
臺灣銀行,101/04,0.940,1.355
臺灣銀行,101/05,0.940,1.355
臺灣銀行,101/06,0.940,1.355
臺灣銀行,101/07,0.940,1.355
臺灣銀行,101/08,0.940,1.355
臺灣銀行,101/09,0.940,1.355
臺灣銀行,101/10,0.940,1.355
臺灣銀行,101/11,0.940,1.355
臺灣銀行,101/12,0.940,1.355
臺灣銀行,102/01,0.940,1.355
臺灣銀行,102/02,0.940,1.355
臺灣銀行,102/03,0.940,1.355
臺灣銀行,102/04,0.940,1.355
臺灣銀行,102/05,0.940,1.355
臺灣銀行,102/06,0.940,1.355
臺灣銀行,102/07,0.940,1.355
臺灣銀行,102/08,0.940,1.355
臺灣銀行,102/09,0.940,1.355
臺灣銀行,102/10,0.940,1.355
臺灣銀行,102/11,0.940,1.355
臺灣銀行,102/12,0.940,1.355
臺灣銀行,103/01,0.940,1.355
臺灣銀行,103/02,0.940,1.355
臺灣銀行,103/03,0.940,1.355
臺灣銀行,103/04,0.940,1.355
臺灣銀行,103/05,0.940,1.355
臺灣銀行,103/06,0.940,1.355
臺灣銀行,103/07,0.940,1.355
臺灣銀行,103/08,0.940,1.355
臺灣銀行,103/09,0.940,1.355
臺灣銀行,103/10,0.940,1.355
臺灣銀行,103/11,0.940,1.355
臺灣銀行,103/12,0.940,1.355
臺灣銀行,104/01,0.940,1.355
臺灣銀行,104/02,0.940,1.355
臺灣銀行,104/03,0.940,1.355
臺灣銀行,104/04,0.940,1.355
臺灣銀行,104/05,0.940,1.355
臺灣銀行,104/06,0.940,1.355
臺灣銀行,104/07,0.940,1.355
臺灣銀行,104/08,0.940,1.355
臺灣銀行,104/09,0.870,1.285
臺灣銀行,104/10,0.870,1.285
臺灣銀行,104/11,0.870,1.285
臺灣銀行,104/12,0.800,1.205
臺灣銀行,105/01,0.800,1.205
臺灣銀行,105/02,0.800,1.205
臺灣銀行,105/03,0.730,1.125
臺灣銀行,105/04,0.730,1.125
臺灣銀行,105/05,0.730,1.125
臺灣銀行,105/06,0.730,1.125
臺灣銀行,105/07,0.630,1.035
臺灣銀行,105/08,0.630,1.035
臺灣銀行,105/09,0.630,1.035
臺灣銀行,105/10,0.630,1.035
臺灣銀行,105/11,0.630,1.035
臺灣銀行,105/12,0.630,1.035
臺灣銀行,106/01,0.630,1.035
臺灣銀行,106/02,0.630,1.035
臺灣銀行,106/03,0.630,1.035
臺灣銀行,106/04,0.630,1.035
臺灣銀行,106/05,0.630,1.035
臺灣銀行,106/06,0.630,1.035
臺灣銀行,106/07,0.630,1.035
臺灣銀行,106/08,0.630,1.035
臺灣銀行,106/09,0.630,1.035
臺灣銀行,106/10,0.630,1.035
臺灣銀行,106/11,0.630,1.035
臺灣銀行,106/12,0.630,1.035
臺灣銀行,107/01,0.630,1.035
臺灣銀行,107/02,0.630,1.035
臺灣銀行,107/03,0.630,1.035
臺灣銀行,107/04,0.630,1.035
臺灣銀行,107/05,0.630,1.035
臺灣銀行,107/06,0.630,1.035
臺灣銀行,107/07,0.630,1.035
臺灣銀行,107/08,0.630,1.035
合作金庫,090/01,4.600,5.000
合作金庫,090/02,4.450,4.800
合作金庫,090/03,4.250,4.650
合作金庫,090/04,3.900,4.200
合作金庫,090/05,3.800,4.100
合作金庫,090/06,3.800,4.100
合作金庫,090/07,3.600,3.900
合作金庫,090/08,3.350,3.650
合作金庫,090/09,2.900,3.150
合作金庫,090/10,2.550,2.800
合作金庫,090/11,2.250,2.500
合作金庫,090/12,2.050,2.300
合作金庫,091/01,2.050,2.300
合作金庫,091/02,2.050,2.300
合作金庫,091/03,2.050,2.300
合作金庫,091/04,2.150,2.400
合作金庫,091/05,2.150,2.400
合作金庫,091/06,2.050,2.300
合作金庫,091/07,1.850,2.125
合作金庫,091/08,1.850,2.125
合作金庫,091/09,1.850,2.125
合作金庫,091/10,1.850,2.125
合作金庫,091/11,1.600,1.875
合作金庫,091/12,1.600,1.875
合作金庫,092/01,1.250,1.525
合作金庫,092/02,1.250,1.525
合作金庫,092/03,1.250,1.525
合作金庫,092/04,1.250,1.525
合作金庫,092/05,1.250,1.525
合作金庫,092/06,1.250,1.525
合作金庫,092/07,1.125,1.400
合作金庫,092/08,1.125,1.400
合作金庫,092/09,1.125,1.400
合作金庫,092/10,1.125,1.400
合作金庫,092/11,1.125,1.400
合作金庫,092/12,1.125,1.400
合作金庫,093/01,1.125,1.400
合作金庫,093/02,1.125,1.400
合作金庫,093/03,1.125,1.400
合作金庫,093/04,1.125,1.400
合作金庫,093/05,1.125,1.400
合作金庫,093/06,1.125,1.400
合作金庫,093/07,1.125,1.400
合作金庫,093/08,1.125,1.400
合作金庫,093/09,1.125,1.400
合作金庫,093/10,1.200,1.525
合作金庫,093/11,1.200,1.525
合作金庫,093/12,1.200,1.525
合作金庫,094/01,1.265,1.590
合作金庫,094/02,1.265,1.590
合作金庫,094/03,1.335,1.670
合作金庫,094/04,1.335,1.690
合作金庫,094/05,1.335,1.690
合作金庫,094/06,1.335,1.690
合作金庫,094/07,1.415,1.790
合作金庫,094/08,1.415,1.790
合作金庫,094/09,1.495,1.890
合作金庫,094/10,1.495,1.890
合作金庫,094/11,1.495,1.890
合作金庫,094/12,1.575,1.990
合作金庫,095/01,1.575,1.990
合作金庫,095/02,1.575,1.990
合作金庫,095/03,1.575,1.990
合作金庫,095/04,1.645,2.060
合作金庫,095/05,1.645,2.060
合作金庫,095/06,1.645,2.060
合作金庫,095/07,1.715,2.130
合作金庫,095/08,1.715,2.130
合作金庫,095/09,1.715,2.130
合作金庫,095/10,1.785,2.200
合作金庫,095/11,1.785,2.200
合作金庫,095/12,1.785,2.200
合作金庫,096/01,1.815,2.230
合作金庫,096/02,1.815,2.230
合作金庫,096/03,1.815,2.230
合作金庫,096/04,1.845,2.260
合作金庫,096/05,1.845,2.260
合作金庫,096/06,2.045,2.460
合作金庫,096/07,2.045,2.460
合作金庫,096/08,2.045,2.460
合作金庫,096/09,2.115,2.540
合作金庫,096/10,2.115,2.540
合作金庫,096/11,2.115,2.540
合作金庫,096/12,2.185,2.620
合作金庫,097/01,2.185,2.620
合作金庫,097/02,2.185,2.620
合作金庫,097/03,2.185,2.620
合作金庫,097/04,2.235,2.670
合作金庫,097/05,2.235,2.670
合作金庫,097/06,2.235,2.670
合作金庫,097/07,2.295,2.730
合作金庫,097/08,2.295,2.730
合作金庫,097/09,2.245,2.680
合作金庫,097/10,2.025,2.430
合作金庫,097/11,1.755,2.180
合作金庫,097/12,1.005,1.420
合作金庫,098/01,0.505,0.920
合作金庫,098/02,0.405,0.770
合作金庫,098/03,0.405,0.770
合作金庫,098/04,0.405,0.770
合作金庫,098/05,0.405,0.770
合作金庫,098/06,0.405,0.770
合作金庫,098/07,0.405,0.770
合作金庫,098/08,0.405,0.770
合作金庫,098/09,0.405,0.770
