"","username","reponame","createTime","rmdCount","rprojCount","fileSearchStatus","numberOfRepos","repoCheckStatus"
"1","yianchiu","git",2019-03-06 16:04:45,2,1,200,1,200
"2","yuenchen00","Rtest",2019-03-13 10:35:25,1,1,200,2,200
"3","yuenchen00","Rpractice",2019-03-06 16:05:32,1,1,200,2,200
"4","mrstadashi","todayistuesday",2019-03-12 12:47:18,0,0,200,3,200
"5","mrstadashi","hello",2019-03-12 16:27:52,1,1,200,3,200
"6","mrstadashi","mobpyscho",2019-03-06 16:34:31,1,1,200,3,200
"7","410473076","2019-R-practice",2019-03-06 16:04:38,1,1,200,1,200
"8","JTRF4869","Inclass-Practice",2019-03-10 21:29:20,1,1,200,2,200
"9","JTRF4869","My-R-Practice",2019-03-06 15:59:49,1,1,200,2,200
"10","nina2089","R2",2019-03-13 13:26:51,1,1,200,3,200
"11","nina2089","R",2019-03-06 16:06:01,2,1,200,3,200
"12","hyomoonj0116","moonsRpractice",2019-03-06 16:05:22,1,1,200,2,200
"13","hyomoonj0116","410773032sRpractice",2019-03-06 16:56:40,1,1,200,2,200
"14","punpun214","real-practice",2019-03-07 21:20:47,2,1,200,2,200
"15","punpun214","the-best-project",2019-03-06 16:04:40,3,2,200,2,200
"16","cyrus890707","mashu",2019-03-06 16:02:26,0,0,200,1,200
"17","lilbang","lilbang",2019-03-13 14:43:36,1,1,200,2,200
"18","yinghsuan726","Rpractice",2019-03-06 16:44:03,1,1,200,5,200
"19","yinghsuan726","Rpractice-2",2019-03-06 18:26:55,1,1,200,5,200
"20","yinghsuan726","myRpractice2",2019-03-06 16:55:53,0,0,200,5,200
"21","yinghsuan726","myRpractice",2019-03-06 16:43:30,0,0,200,5,200
"22","christina4473","first-practice",2019-03-06 16:05:13,0,1,200,2,200
"23","christina4473","try-again-practice",2019-03-08 13:48:19,1,1,200,2,200
"24","ga0620ry","homework-3-6",2019-03-07 12:40:26,1,1,200,3,200
"25","ga0620ry","YA-YI-JHOU",2019-03-06 16:05:02,1,1,200,3,200
"26","ga0620ry","R-practice",2019-03-11 10:55:21,1,1,200,3,200
"27","Phakeli","Umbra",2019-03-10 18:03:22,1,1,200,2,200
"28","Phakeli","Clay",2019-03-06 16:06:07,1,1,200,2,200
"29","yoyochingyu","0306_HW",2019-03-06 17:03:47,1,1,200,2,200
"30","yoyochingyu","R_documentation",2019-03-06 16:03:51,1,1,200,2,200
"31","xiao89S","Homework1",2019-03-10 14:05:33,1,1,200,2,200
"32","xiao89S","xiaoss",2019-03-06 16:32:19,1,1,200,2,200
"33","dino880301","dino-1",2019-03-13 14:06:34,1,1,200,2,200
"34","dino880301","dino-2",2019-03-13 14:11:34,1,1,200,2,200
"35","lhu880628","my-r-practice",2019-03-13 13:23:17,1,1,200,2,200
"36","lhu880628","2-practice",2019-03-13 13:58:08,1,1,200,2,200
"37","c00093090","myclassRscience",2019-03-06 15:58:38,2,1,200,2,200
"38","c00093090","myRPractice2",2019-03-12 14:39:44,1,1,200,2,200
"39","shenny923","107-2-the-second-repository",2019-03-12 02:30:23,1,1,200,2,200
"40","shenny923","107-2-a-new-try",2019-03-06 16:05:01,1,1,200,2,200
"41","410773015","alwin",2019-03-06 16:04:56,0,1,200,1,200
"42","lillianone02","Github",2019-03-06 16:34:03,0,1,200,4,200
"43","lillianone02","0311",2019-03-11 17:03:23,1,0,200,4,200
"44","lillianone02","0310",2019-03-10 17:57:45,1,1,200,4,200
"45","PeiYuChenn","iRIS3",2019-03-08 15:52:48,0,0,200,3,200
"46","PeiYuChenn","Iris2",2019-03-06 16:59:48,0,0,200,3,200
"47","PeiYuChenn","Iris",2019-03-06 16:04:49,0,0,200,3,200
"48","bill0201","r-practice-3-9",2019-03-09 11:56:36,0,0,200,3,200
"49","bill0201","2019-03-09-2.0",2019-03-09 12:10:17,0,0,200,3,200
"50","bill0201","BILLPRACTICE",2019-03-06 16:02:22,2,1,200,3,200
"51","ariel890103","2nd",2019-03-06 16:56:09,0,0,200,3,200
"52","ariel890103","r-practice",2019-03-06 16:32:44,0,0,200,3,200
"53","rickybao","my-R-practice",2019-03-12 22:09:17,1,1,200,2,200
"54","rickybao","410473104",2019-03-06 16:05:07,1,1,200,2,200
"55","jane629","Rhomework",2019-03-11 01:58:50,1,1,200,2,200
"56","jane629","Rlearningpractice",2019-03-06 16:04:43,1,1,200,2,200
"57","yiwen880120","yiwen880120",2019-03-06 16:03:35,0,0,200,3,200
"58","yiwen880120","myrepo",2019-03-11 11:20:01,1,1,200,3,200
"59","yiwen880120","myrepo20190312",2019-03-12 00:23:21,1,1,200,3,200
"60","funkjerry","Funky",2019-03-12 23:59:04,1,1,200,2,200
"61","funkjerry","Jerry",2019-03-13 00:05:23,1,1,200,2,200
"62","90226sam","R-practice",2019-03-06 16:05:10,0,1,200,2,200
"63","90226sam","R-practice-2",2019-03-13 08:41:52,1,1,200,2,200
"64","evia1999","Chieh-GitHub",2019-03-06 16:04:47,2,1,200,2,200
"65","evia1999","2019-03-07-practice",2019-03-07 21:25:43,2,1,200,2,200
"66","shirley0820","mydocument",2019-03-06 16:32:54,1,1,200,2,200
"67","shirley0820","410773104",2019-03-09 21:20:46,1,1,200,2,200
"68","alice880903","my-R-practice",2019-03-13 01:40:57,1,1,200,4,200
"69","alice880903","R-practice2",2019-03-13 13:39:00,0,1,200,4,200
"70","alice880903","R-practice",2019-03-13 13:29:10,0,1,200,4,200
"71","alice880903","My-R",2019-03-06 16:59:24,1,1,200,4,200
"72","Frabizio","R-s",2019-03-06 16:01:47,1,0,200,3,200
"73","yureginayu2321","homework-r-practice",2019-03-12 00:34:02,2,1,200,2,200
"74","yureginayu2321","Rpractice",2019-03-06 16:05:27,2,1,200,2,200
"75","HHY2000","Better",2019-03-06 16:05:15,1,1,200,2,200
"76","HHY2000","AAA",2019-03-06 17:40:29,1,1,200,2,200
"77","aurora92525","jefferyrclass",2019-03-06 16:04:59,1,1,200,1,200
"78","yui6532","inClass-Practice",2019-03-06 16:05:46,2,1,200,2,200
"79","yui6532","repository2",2019-03-11 22:05:48,1,1,200,2,200
"80","ruby12566","R3-practice",2019-03-12 00:50:58,1,1,200,3,200
"81","ruby12566","R2-practice",2019-03-12 00:46:46,1,1,200,3,200
"82","95226","sheng",2019-03-06 16:04:40,0,0,200,2,200
"83","95226","3-10practice1",2019-03-10 10:12:28,1,1,200,2,200
"84","pinchieh71","R1-practice",2019-03-11 15:54:44,1,1,200,2,200
"85","pinchieh71","R2-practice",2019-03-11 16:02:48,1,1,200,2,200
"86","yinchiachang","chiachia",2019-03-11 17:19:38,0,1,200,2,200
"87","yinchiachang","chia",2019-03-06 16:59:49,0,1,200,2,200
"88","Wuuu881215","R-practice",2019-03-06 16:06:14,1,1,200,2,200
"89","Wuuu881215","R-homework",2019-03-11 17:15:50,1,1,200,2,200
"90","shuyulin97","R_practice_190306",2019-03-06 16:04:46,1,1,200,2,200
"91","shuyulin97","R_practice_190312",2019-03-13 11:36:17,1,1,200,2,200
"92","bobbidi0122","Heyyyy",2019-03-06 16:05:00,1,1,200,2,200
"93","bobbidi0122","HW-week3",2019-03-09 16:38:00,1,1,200,2,200
"94","sophiahelen","sophia044",2019-03-06 16:04:40,0,1,200,2,200
"95","sophiahelen","my-r-practice-01",2019-03-12 19:22:35,1,1,200,2,200
"96","Holycarl0118","Homework-week-3-108-3-6",2019-03-08 14:07:55,1,1,200,2,200
"97","Holycarl0118","Holycarl0118",2019-03-06 15:57:44,1,1,200,2,200
"98","roderick11","3-6-homework",2019-03-07 17:46:22,1,1,200,3,200
"99","roderick11","my-R-class",2019-03-06 16:04:41,1,1,200,3,200
"100","ArthurGuangTing","RRRRRRRRRRR",2019-03-07 22:56:42,1,1,200,3,200
"101","ArthurGuangTing","RRRRRRRRRRthur",2019-03-06 15:49:03,0,0,200,3,200
"102","ArthurGuangTing","R-Language",2019-03-06 16:06:55,1,1,200,3,200
"103","yitingggg","03-11new",2019-03-11 14:15:03,1,1,200,2,200
"104","yitingggg","R-study",2019-03-06 16:05:16,1,1,200,2,200
"105","SheeperISme","sheeperISme",2019-03-06 16:04:43,1,1,200,1,200
"106","seamonster666","R-Language",2019-03-08 23:56:21,1,1,200,2,200
"107","seamonster666","Learning-R",2019-03-06 16:05:01,1,2,200,2,200
"108","weberweber","weber-r-practice-homework",2019-03-06 20:56:32,0,1,200,3,200
"109","weberweber","weber-rpractice-homework-1",2019-03-08 16:04:07,1,1,200,3,200
"110","weberweber","weber-r-practice",2019-03-06 16:05:18,1,1,200,3,200
"111","LOCKER-DC","homework-1st",2019-03-06 18:09:18,1,1,200,2,200
"112","LOCKER-DC","R-project-of-dennis-s-r-class",2019-03-06 16:05:01,1,1,200,2,200
"113","Chifu0917","Rabbit-project",2019-03-06 17:41:57,2,1,200,2,200
"114","Chifu0917","pRetty-projoct-",2019-03-06 16:11:20,1,1,200,2,200
"115","hereisjulia","MR.-R--",2019-03-12 22:24:42,0,0,200,2,200
"116","hereisjulia","MR.-R",2019-03-06 16:06:55,1,1,200,2,200
"117","0803tina","My-R-Homework",2019-03-11 19:14:26,1,1,200,3,200
"118","0803tina","Learning-of-R",2019-03-06 16:05:15,0,1,200,3,200
"119","0803tina","My-R-Practice",2019-03-11 18:51:01,1,1,200,3,200
"120","KaEDe1106","K",2019-03-06 16:04:58,1,1,200,2,200
"121","KaEDe1106","ANewRepo",2019-03-08 19:59:06,1,1,200,2,200
"122","aaa37568678","aaaaaa",2019-03-13 14:01:03,0,0,200,2,200
"123","aaa37568678","bbbbbbb",2019-03-13 14:05:08,0,0,200,2,200
"124","Mfang0605","107myRstudio",2019-03-06 16:06:43,2,1,200,2,200
"125","Mfang0605","new-R",2019-03-11 16:28:32,1,1,200,2,200
"126","scot0111203","RLearning",2019-03-06 16:04:43,0,1,200,3,200
"127","scot0111203","RLearning2",2019-03-06 17:32:07,1,1,200,3,200
"128","scot0111203","RLearning3",2019-03-08 16:11:33,1,1,200,3,200
"129","Lihsin0816","MyRcourse",2019-03-06 16:52:38,1,1,200,4,200
"130","Lihsin0816","107-2Rproject",2019-03-06 16:04:58,0,0,200,4,200
"131","Lihsin0816","MyRpractice",2019-03-09 21:33:33,1,1,200,4,200
"132","shemchiayu","forR",2019-03-06 16:05:27,1,1,200,4,200
"133","amypiggy","0306-homework-practice",2019-03-06 16:58:06,1,1,200,4,200
"134","amypiggy","practice-again",2019-03-08 15:30:31,0,0,200,4,200
"135","amypiggy","amy-r-learning",2019-03-06 16:04:43,2,1,200,4,200
"136","pingrong","rlearningprocess",2019-03-06 16:04:42,1,1,200,6,200
"137","pingrong","hw1",2019-03-08 09:30:32,1,1,200,6,200
"138","pingrong","R-learning-process",2019-03-06 15:42:09,0,0,200,6,200
"139","yuchuyin","HW-1",2019-03-08 13:14:13,1,1,200,2,200
"140","yuchuyin","yuchuyin",2019-03-06 16:05:26,1,1,200,2,200
"141","0830peggy","r-practice-0311",2019-03-11 18:58:36,1,1,200,2,200
"142","0830peggy","r-learning",2019-03-06 16:05:00,1,1,200,2,200
"143","aliciaora","410773020--Alicia",2019-03-10 22:54:58,1,1,200,2,200
"144","aliciaora","410773020Alicia-1",2019-03-06 16:04:41,1,1,200,2,200
"145","spindaniel","anewone",2019-03-06 16:58:14,0,1,200,2,200
"146","spindaniel","class",2019-03-06 16:05:13,1,1,200,2,200
"147","tmo60229","r-homework-3-6",2019-03-11 00:51:43,0,0,200,2,200
"148","tmo60229","tmo60229-home-work",2019-03-06 15:55:36,0,1,200,2,200
"149","michaellee0224","Michael",2019-03-06 16:06:06,1,1,200,2,200
"150","michaellee0224","homework",2019-03-10 16:26:11,1,1,200,2,200
"151","Daphne-Flash","my-R-practice",2019-03-10 15:30:57,1,1,200,2,200
"152","Daphne-Flash","RGrowth",2019-03-06 16:05:09,1,1,200,2,200
"153","yoonme","my-practice",2019-03-10 18:00:44,1,1,200,2,200
"154","yoonme","my-R-practice",2019-03-06 16:05:39,1,1,200,2,200
"155","eatingtsai","107-2-EATINGTSAI",2019-03-06 16:33:09,1,0,200,2,200
"156","eatingtsai","R-practice-2019-03-08",2019-03-08 17:48:04,1,1,200,2,200
"157","kaeru1226narukami","KAO3036",2019-03-06 16:05:08,1,1,200,2,200
"158","kaeru1226narukami","anoREPO",2019-03-06 17:59:29,1,1,200,2,200
"159","youyunhsiao","my-R-file",2019-03-08 21:40:56,1,1,200,2,200
"160","youyunhsiao","vivi-file",2019-03-06 16:02:53,1,1,200,2,200
"161","jasminejw0215","2019-03-10",2019-03-10 22:52:14,1,1,200,5,200
"162","jasminejw0215","my-R-practice",2019-03-06 16:04:42,2,1,200,5,200
"163","jasminejw0215","2019-03-13",2019-03-13 14:28:19,0,0,200,5,200
"164","jasminejw0215","20190313newtry",2019-03-13 14:47:27,1,1,200,5,200
"165","pinpinbaby","PRACTICE",2019-03-11 14:29:50,1,1,200,2,200
"166","pinpinbaby","pinbaby",2019-03-06 16:06:51,4,1,200,2,200
"167","LKS130615","R.0.0.1",2019-03-06 14:33:01,0,0,200,6,200
"168","LKS130615","HomeWork",2019-03-12 20:51:05,0,0,200,6,200
"169","Eating1021","eating1021",2019-03-06 16:34:18,0,1,200,3,200
"170","Eating1021","eating-R-practice",2019-03-12 23:29:44,0,0,200,3,200
"171","Tzuchenmoi","Homework1",2019-03-12 19:43:57,0,0,200,2,200
"172","Tzuchenmoi","First",2019-03-06 16:04:39,0,0,200,2,200
"173","jhenbingao","FQ",2019-03-10 20:10:49,0,0,200,4,200
"174","jhenbingao","eason",2019-03-08 21:32:27,1,1,200,4,200
"175","jhenbingao","ben95226",2019-03-10 20:09:16,0,0,200,4,200
"176","jhenbingao","jhenbingao",2019-03-06 16:04:43,0,0,200,4,200
