期間,幣別,匯率
1960-01-01,歐元USD/EUR,NA
1960-02-01,歐元USD/EUR,NA
1960-03-01,歐元USD/EUR,NA
1960-04-01,歐元USD/EUR,NA
1960-05-01,歐元USD/EUR,NA
1960-06-01,歐元USD/EUR,NA
1960-07-01,歐元USD/EUR,NA
1960-08-01,歐元USD/EUR,NA
1960-09-01,歐元USD/EUR,NA
1960-10-01,歐元USD/EUR,NA
1960-11-01,歐元USD/EUR,NA
1960-12-01,歐元USD/EUR,NA
1961-01-01,歐元USD/EUR,NA
1961-02-01,歐元USD/EUR,NA
1961-03-01,歐元USD/EUR,NA
1961-04-01,歐元USD/EUR,NA
1961-05-01,歐元USD/EUR,NA
1961-06-01,歐元USD/EUR,NA
1961-07-01,歐元USD/EUR,NA
1961-08-01,歐元USD/EUR,NA
1961-09-01,歐元USD/EUR,NA
1961-10-01,歐元USD/EUR,NA
1961-11-01,歐元USD/EUR,NA
1961-12-01,歐元USD/EUR,NA
1962-01-01,歐元USD/EUR,NA
1962-02-01,歐元USD/EUR,NA
1962-03-01,歐元USD/EUR,NA
1962-04-01,歐元USD/EUR,NA
1962-05-01,歐元USD/EUR,NA
1962-06-01,歐元USD/EUR,NA
1962-07-01,歐元USD/EUR,NA
1962-08-01,歐元USD/EUR,NA
1962-09-01,歐元USD/EUR,NA
1962-10-01,歐元USD/EUR,NA
1962-11-01,歐元USD/EUR,NA
1962-12-01,歐元USD/EUR,NA
1963-01-01,歐元USD/EUR,NA
1963-02-01,歐元USD/EUR,NA
1963-03-01,歐元USD/EUR,NA
1963-04-01,歐元USD/EUR,NA
1963-05-01,歐元USD/EUR,NA
1963-06-01,歐元USD/EUR,NA
1963-07-01,歐元USD/EUR,NA
1963-08-01,歐元USD/EUR,NA
1963-09-01,歐元USD/EUR,NA
1963-10-01,歐元USD/EUR,NA
1963-11-01,歐元USD/EUR,NA
1963-12-01,歐元USD/EUR,NA
1964-01-01,歐元USD/EUR,NA
1964-02-01,歐元USD/EUR,NA
1964-03-01,歐元USD/EUR,NA
1964-04-01,歐元USD/EUR,NA
1964-05-01,歐元USD/EUR,NA
1964-06-01,歐元USD/EUR,NA
1964-07-01,歐元USD/EUR,NA
1964-08-01,歐元USD/EUR,NA
1964-09-01,歐元USD/EUR,NA
1964-10-01,歐元USD/EUR,NA
1964-11-01,歐元USD/EUR,NA
1964-12-01,歐元USD/EUR,NA
1965-01-01,歐元USD/EUR,NA
1965-02-01,歐元USD/EUR,NA
1965-03-01,歐元USD/EUR,NA
1965-04-01,歐元USD/EUR,NA
1965-05-01,歐元USD/EUR,NA
1965-06-01,歐元USD/EUR,NA
1965-07-01,歐元USD/EUR,NA
1965-08-01,歐元USD/EUR,NA
1965-09-01,歐元USD/EUR,NA
1965-10-01,歐元USD/EUR,NA
1965-11-01,歐元USD/EUR,NA
1965-12-01,歐元USD/EUR,NA
1966-01-01,歐元USD/EUR,NA
1966-02-01,歐元USD/EUR,NA
1966-03-01,歐元USD/EUR,NA
1966-04-01,歐元USD/EUR,NA
1966-05-01,歐元USD/EUR,NA
1966-06-01,歐元USD/EUR,NA
1966-07-01,歐元USD/EUR,NA
1966-08-01,歐元USD/EUR,NA
1966-09-01,歐元USD/EUR,NA
1966-10-01,歐元USD/EUR,NA
1966-11-01,歐元USD/EUR,NA
1966-12-01,歐元USD/EUR,NA
1967-01-01,歐元USD/EUR,NA
1967-02-01,歐元USD/EUR,NA
1967-03-01,歐元USD/EUR,NA
1967-04-01,歐元USD/EUR,NA
1967-05-01,歐元USD/EUR,NA
1967-06-01,歐元USD/EUR,NA
1967-07-01,歐元USD/EUR,NA
1967-08-01,歐元USD/EUR,NA
1967-09-01,歐元USD/EUR,NA
1967-10-01,歐元USD/EUR,NA
1967-11-01,歐元USD/EUR,NA
1967-12-01,歐元USD/EUR,NA
1968-01-01,歐元USD/EUR,NA
1968-02-01,歐元USD/EUR,NA
1968-03-01,歐元USD/EUR,NA
1968-04-01,歐元USD/EUR,NA
1968-05-01,歐元USD/EUR,NA
1968-06-01,歐元USD/EUR,NA
1968-07-01,歐元USD/EUR,NA
1968-08-01,歐元USD/EUR,NA
1968-09-01,歐元USD/EUR,NA
1968-10-01,歐元USD/EUR,NA
1968-11-01,歐元USD/EUR,NA
1968-12-01,歐元USD/EUR,NA
1969-01-01,歐元USD/EUR,NA
1969-02-01,歐元USD/EUR,NA
1969-03-01,歐元USD/EUR,NA
1969-04-01,歐元USD/EUR,NA
1969-05-01,歐元USD/EUR,NA
1969-06-01,歐元USD/EUR,NA
1969-07-01,歐元USD/EUR,NA
1969-08-01,歐元USD/EUR,NA
1969-09-01,歐元USD/EUR,NA
1969-10-01,歐元USD/EUR,NA
1969-11-01,歐元USD/EUR,NA
1969-12-01,歐元USD/EUR,NA
1970-01-01,歐元USD/EUR,NA
1970-02-01,歐元USD/EUR,NA
1970-03-01,歐元USD/EUR,NA
1970-04-01,歐元USD/EUR,NA
1970-05-01,歐元USD/EUR,NA
1970-06-01,歐元USD/EUR,NA
1970-07-01,歐元USD/EUR,NA
1970-08-01,歐元USD/EUR,NA
1970-09-01,歐元USD/EUR,NA
1970-10-01,歐元USD/EUR,NA
1970-11-01,歐元USD/EUR,NA
1970-12-01,歐元USD/EUR,NA
1971-01-01,歐元USD/EUR,NA
1971-02-01,歐元USD/EUR,NA
1971-03-01,歐元USD/EUR,NA
1971-04-01,歐元USD/EUR,NA
1971-05-01,歐元USD/EUR,NA
1971-06-01,歐元USD/EUR,NA
1971-07-01,歐元USD/EUR,NA
1971-08-01,歐元USD/EUR,NA
1971-09-01,歐元USD/EUR,NA
1971-10-01,歐元USD/EUR,NA
1971-11-01,歐元USD/EUR,NA
1971-12-01,歐元USD/EUR,NA
1972-01-01,歐元USD/EUR,NA
1972-02-01,歐元USD/EUR,NA
1972-03-01,歐元USD/EUR,NA
1972-04-01,歐元USD/EUR,NA
1972-05-01,歐元USD/EUR,NA
1972-06-01,歐元USD/EUR,NA
1972-07-01,歐元USD/EUR,NA
1972-08-01,歐元USD/EUR,NA
1972-09-01,歐元USD/EUR,NA
1972-10-01,歐元USD/EUR,NA
1972-11-01,歐元USD/EUR,NA
1972-12-01,歐元USD/EUR,NA
1973-01-01,歐元USD/EUR,NA
1973-02-01,歐元USD/EUR,NA
1973-03-01,歐元USD/EUR,NA
1973-04-01,歐元USD/EUR,NA
1973-05-01,歐元USD/EUR,NA
1973-06-01,歐元USD/EUR,NA
1973-07-01,歐元USD/EUR,NA
1973-08-01,歐元USD/EUR,NA
1973-09-01,歐元USD/EUR,NA
1973-10-01,歐元USD/EUR,NA
1973-11-01,歐元USD/EUR,NA
1973-12-01,歐元USD/EUR,NA
1974-01-01,歐元USD/EUR,NA
1974-02-01,歐元USD/EUR,NA
1974-03-01,歐元USD/EUR,NA
1974-04-01,歐元USD/EUR,NA
1974-05-01,歐元USD/EUR,NA
1974-06-01,歐元USD/EUR,NA
1974-07-01,歐元USD/EUR,NA
1974-08-01,歐元USD/EUR,NA
1974-09-01,歐元USD/EUR,NA
1974-10-01,歐元USD/EUR,NA
1974-11-01,歐元USD/EUR,NA
1974-12-01,歐元USD/EUR,NA
1975-01-01,歐元USD/EUR,NA
1975-02-01,歐元USD/EUR,NA
1975-03-01,歐元USD/EUR,NA
1975-04-01,歐元USD/EUR,NA
1975-05-01,歐元USD/EUR,NA
1975-06-01,歐元USD/EUR,NA
1975-07-01,歐元USD/EUR,NA
1975-08-01,歐元USD/EUR,NA
1975-09-01,歐元USD/EUR,NA
1975-10-01,歐元USD/EUR,NA
1975-11-01,歐元USD/EUR,NA
1975-12-01,歐元USD/EUR,NA
1976-01-01,歐元USD/EUR,NA
1976-02-01,歐元USD/EUR,NA
1976-03-01,歐元USD/EUR,NA
1976-04-01,歐元USD/EUR,NA
1976-05-01,歐元USD/EUR,NA
1976-06-01,歐元USD/EUR,NA
1976-07-01,歐元USD/EUR,NA
1976-08-01,歐元USD/EUR,NA
1976-09-01,歐元USD/EUR,NA
1976-10-01,歐元USD/EUR,NA
1976-11-01,歐元USD/EUR,NA
1976-12-01,歐元USD/EUR,NA
1977-01-01,歐元USD/EUR,NA
1977-02-01,歐元USD/EUR,NA
1977-03-01,歐元USD/EUR,NA
1977-04-01,歐元USD/EUR,NA
1977-05-01,歐元USD/EUR,NA
1977-06-01,歐元USD/EUR,NA
1977-07-01,歐元USD/EUR,NA
1977-08-01,歐元USD/EUR,NA
1977-09-01,歐元USD/EUR,NA
1977-10-01,歐元USD/EUR,NA
1977-11-01,歐元USD/EUR,NA
1977-12-01,歐元USD/EUR,NA
1978-01-01,歐元USD/EUR,NA
1978-02-01,歐元USD/EUR,NA
1978-03-01,歐元USD/EUR,NA
1978-04-01,歐元USD/EUR,NA
1978-05-01,歐元USD/EUR,NA
1978-06-01,歐元USD/EUR,NA
1978-07-01,歐元USD/EUR,NA
1978-08-01,歐元USD/EUR,NA
1978-09-01,歐元USD/EUR,NA
1978-10-01,歐元USD/EUR,NA
1978-11-01,歐元USD/EUR,NA
1978-12-01,歐元USD/EUR,NA
1979-01-01,歐元USD/EUR,NA
1979-02-01,歐元USD/EUR,NA
1979-03-01,歐元USD/EUR,NA
1979-04-01,歐元USD/EUR,NA
1979-05-01,歐元USD/EUR,NA
1979-06-01,歐元USD/EUR,NA
1979-07-01,歐元USD/EUR,NA
1979-08-01,歐元USD/EUR,NA
1979-09-01,歐元USD/EUR,NA
1979-10-01,歐元USD/EUR,NA
1979-11-01,歐元USD/EUR,NA
1979-12-01,歐元USD/EUR,NA
1980-01-01,歐元USD/EUR,NA
1980-02-01,歐元USD/EUR,NA
1980-03-01,歐元USD/EUR,NA
1980-04-01,歐元USD/EUR,NA
1980-05-01,歐元USD/EUR,NA
1980-06-01,歐元USD/EUR,NA
1980-07-01,歐元USD/EUR,NA
1980-08-01,歐元USD/EUR,NA
1980-09-01,歐元USD/EUR,NA
1980-10-01,歐元USD/EUR,NA
1980-11-01,歐元USD/EUR,NA
1980-12-01,歐元USD/EUR,NA
1981-01-01,歐元USD/EUR,NA
1981-02-01,歐元USD/EUR,NA
1981-03-01,歐元USD/EUR,NA
1981-04-01,歐元USD/EUR,NA
1981-05-01,歐元USD/EUR,NA
1981-06-01,歐元USD/EUR,NA
1981-07-01,歐元USD/EUR,NA
1981-08-01,歐元USD/EUR,NA
1981-09-01,歐元USD/EUR,NA
1981-10-01,歐元USD/EUR,NA
1981-11-01,歐元USD/EUR,NA
1981-12-01,歐元USD/EUR,NA
1982-01-01,歐元USD/EUR,NA
1982-02-01,歐元USD/EUR,NA
1982-03-01,歐元USD/EUR,NA
1982-04-01,歐元USD/EUR,NA
1982-05-01,歐元USD/EUR,NA
1982-06-01,歐元USD/EUR,NA
1982-07-01,歐元USD/EUR,NA
1982-08-01,歐元USD/EUR,NA
1982-09-01,歐元USD/EUR,NA
1982-10-01,歐元USD/EUR,NA
1982-11-01,歐元USD/EUR,NA
1982-12-01,歐元USD/EUR,NA
1983-01-01,歐元USD/EUR,NA
1983-02-01,歐元USD/EUR,NA
1983-03-01,歐元USD/EUR,NA
1983-04-01,歐元USD/EUR,NA
1983-05-01,歐元USD/EUR,NA
1983-06-01,歐元USD/EUR,NA
1983-07-01,歐元USD/EUR,NA
1983-08-01,歐元USD/EUR,NA
1983-09-01,歐元USD/EUR,NA
1983-10-01,歐元USD/EUR,NA
1983-11-01,歐元USD/EUR,NA
1983-12-01,歐元USD/EUR,NA
1984-01-01,歐元USD/EUR,NA
1984-02-01,歐元USD/EUR,NA
1984-03-01,歐元USD/EUR,NA
1984-04-01,歐元USD/EUR,NA
1984-05-01,歐元USD/EUR,NA
1984-06-01,歐元USD/EUR,NA
1984-07-01,歐元USD/EUR,NA
1984-08-01,歐元USD/EUR,NA
1984-09-01,歐元USD/EUR,NA
1984-10-01,歐元USD/EUR,NA
1984-11-01,歐元USD/EUR,NA
1984-12-01,歐元USD/EUR,NA
1985-01-01,歐元USD/EUR,NA
1985-02-01,歐元USD/EUR,NA
1985-03-01,歐元USD/EUR,NA
1985-04-01,歐元USD/EUR,NA
1985-05-01,歐元USD/EUR,NA
1985-06-01,歐元USD/EUR,NA
1985-07-01,歐元USD/EUR,NA
1985-08-01,歐元USD/EUR,NA
1985-09-01,歐元USD/EUR,NA
1985-10-01,歐元USD/EUR,NA
1985-11-01,歐元USD/EUR,NA
1985-12-01,歐元USD/EUR,NA
1986-01-01,歐元USD/EUR,NA
1986-02-01,歐元USD/EUR,NA
1986-03-01,歐元USD/EUR,NA
1986-04-01,歐元USD/EUR,NA
1986-05-01,歐元USD/EUR,NA
1986-06-01,歐元USD/EUR,NA
1986-07-01,歐元USD/EUR,NA
1986-08-01,歐元USD/EUR,NA
1986-09-01,歐元USD/EUR,NA
1986-10-01,歐元USD/EUR,NA
1986-11-01,歐元USD/EUR,NA
1986-12-01,歐元USD/EUR,NA
1987-01-01,歐元USD/EUR,NA
1987-02-01,歐元USD/EUR,NA
1987-03-01,歐元USD/EUR,NA
1987-04-01,歐元USD/EUR,NA
1987-05-01,歐元USD/EUR,NA
1987-06-01,歐元USD/EUR,NA
1987-07-01,歐元USD/EUR,NA
1987-08-01,歐元USD/EUR,NA
1987-09-01,歐元USD/EUR,NA
1987-10-01,歐元USD/EUR,NA
1987-11-01,歐元USD/EUR,NA
1987-12-01,歐元USD/EUR,NA
1988-01-01,歐元USD/EUR,NA
1988-02-01,歐元USD/EUR,NA
1988-03-01,歐元USD/EUR,NA
1988-04-01,歐元USD/EUR,NA
1988-05-01,歐元USD/EUR,NA
1988-06-01,歐元USD/EUR,NA
1988-07-01,歐元USD/EUR,NA
1988-08-01,歐元USD/EUR,NA
1988-09-01,歐元USD/EUR,NA
1988-10-01,歐元USD/EUR,NA
1988-11-01,歐元USD/EUR,NA
1988-12-01,歐元USD/EUR,NA
1989-01-01,歐元USD/EUR,NA
1989-02-01,歐元USD/EUR,NA
1989-03-01,歐元USD/EUR,NA
1989-04-01,歐元USD/EUR,NA
1989-05-01,歐元USD/EUR,NA
1989-06-01,歐元USD/EUR,NA
1989-07-01,歐元USD/EUR,NA
1989-08-01,歐元USD/EUR,NA
1989-09-01,歐元USD/EUR,NA
1989-10-01,歐元USD/EUR,NA
1989-11-01,歐元USD/EUR,NA
1989-12-01,歐元USD/EUR,NA
1990-01-01,歐元USD/EUR,NA
1990-02-01,歐元USD/EUR,NA
1990-03-01,歐元USD/EUR,NA
1990-04-01,歐元USD/EUR,NA
1990-05-01,歐元USD/EUR,NA
1990-06-01,歐元USD/EUR,NA
1990-07-01,歐元USD/EUR,NA
1990-08-01,歐元USD/EUR,NA
1990-09-01,歐元USD/EUR,NA
1990-10-01,歐元USD/EUR,NA
1990-11-01,歐元USD/EUR,NA
1990-12-01,歐元USD/EUR,NA
1991-01-01,歐元USD/EUR,NA
1991-02-01,歐元USD/EUR,NA
1991-03-01,歐元USD/EUR,NA
1991-04-01,歐元USD/EUR,NA
1991-05-01,歐元USD/EUR,NA
1991-06-01,歐元USD/EUR,NA
1991-07-01,歐元USD/EUR,NA
1991-08-01,歐元USD/EUR,NA
1991-09-01,歐元USD/EUR,NA
1991-10-01,歐元USD/EUR,NA
1991-11-01,歐元USD/EUR,NA
1991-12-01,歐元USD/EUR,NA
1992-01-01,歐元USD/EUR,NA
1992-02-01,歐元USD/EUR,NA
1992-03-01,歐元USD/EUR,NA
1992-04-01,歐元USD/EUR,NA
1992-05-01,歐元USD/EUR,NA
1992-06-01,歐元USD/EUR,NA
1992-07-01,歐元USD/EUR,NA
1992-08-01,歐元USD/EUR,NA
1992-09-01,歐元USD/EUR,NA
1992-10-01,歐元USD/EUR,NA
1992-11-01,歐元USD/EUR,NA
1992-12-01,歐元USD/EUR,NA
1993-01-01,歐元USD/EUR,NA
1993-02-01,歐元USD/EUR,NA
1993-03-01,歐元USD/EUR,NA
1993-04-01,歐元USD/EUR,NA
1993-05-01,歐元USD/EUR,NA
1993-06-01,歐元USD/EUR,NA
1993-07-01,歐元USD/EUR,NA
1993-08-01,歐元USD/EUR,NA
1993-09-01,歐元USD/EUR,NA
1993-10-01,歐元USD/EUR,NA
1993-11-01,歐元USD/EUR,NA
1993-12-01,歐元USD/EUR,NA
1994-01-01,歐元USD/EUR,0.8976660682226211
1994-02-01,歐元USD/EUR,0.8952551477170994
1994-03-01,歐元USD/EUR,0.8756567425569177
1994-04-01,歐元USD/EUR,0.8779631255487269
1994-05-01,歐元USD/EUR,0.859106529209622
1994-06-01,歐元USD/EUR,0.8445945945945946
1994-07-01,歐元USD/EUR,0.8176614881439084
1994-08-01,歐元USD/EUR,0.8176614881439084
1994-09-01,歐元USD/EUR,0.8097165991902834
1994-10-01,歐元USD/EUR,0.7930214115781127
1994-11-01,歐元USD/EUR,0.8032128514056224
1994-12-01,歐元USD/EUR,0.8223684210526316
1995-01-01,歐元USD/EUR,0.8051529790660226
1995-02-01,歐元USD/EUR,0.794912559618442
1995-03-01,歐元USD/EUR,0.7593014426727411
1995-04-01,歐元USD/EUR,0.7457121551081283
1995-05-01,歐元USD/EUR,0.757002271006813
1995-06-01,歐元USD/EUR,0.7513148009015778
1995-07-01,歐元USD/EUR,0.7434944237918216
1995-08-01,歐元USD/EUR,0.7668711656441718
1995-09-01,歐元USD/EUR,0.7763975155279503
1995-10-01,歐元USD/EUR,0.75642965204236
1995-11-01,歐元USD/EUR,0.755287009063444
1995-12-01,歐元USD/EUR,0.7668711656441718
1996-01-01,歐元USD/EUR,0.7770007770007771
1996-02-01,歐元USD/EUR,0.7763975155279503
1996-03-01,歐元USD/EUR,0.7806401249024201
1996-04-01,歐元USD/EUR,0.7911392405063291
1996-05-01,歐元USD/EUR,0.8019246190858058
1996-06-01,歐元USD/EUR,0.7980845969672786
1996-07-01,歐元USD/EUR,0.7867820613690009
1996-08-01,歐元USD/EUR,0.7874015748031495
1996-09-01,歐元USD/EUR,0.7886435331230284
1996-10-01,歐元USD/EUR,0.7942811755361399
1996-11-01,歐元USD/EUR,0.7818608287724785
1996-12-01,歐元USD/EUR,0.8
1997-01-01,歐元USD/EUR,0.8230452674897119
1997-02-01,歐元USD/EUR,0.856898029134533
1997-03-01,歐元USD/EUR,0.8695652173913044
1997-04-01,歐元USD/EUR,0.8733624454148472
1997-05-01,歐元USD/EUR,0.8710801393728224
1997-06-01,歐元USD/EUR,0.8795074758135444
1997-07-01,歐元USD/EUR,0.9057971014492753
1997-08-01,歐元USD/EUR,0.9328358208955223
1997-09-01,歐元USD/EUR,0.9090909090909091
1997-10-01,歐元USD/EUR,0.8928571428571428
1997-11-01,歐元USD/EUR,0.8771929824561404
1997-12-01,歐元USD/EUR,0.8992805755395683
1998-01-01,歐元USD/EUR,0.9191176470588235
1998-02-01,歐元USD/EUR,0.9203018590097551
1998-03-01,歐元USD/EUR,0.9222539887485013
1998-04-01,歐元USD/EUR,0.9207255317189945
1998-05-01,歐元USD/EUR,0.9022013713460844
1998-06-01,歐元USD/EUR,0.9079353550027238
1998-07-01,歐元USD/EUR,0.9111617312072894
1998-08-01,歐元USD/EUR,0.9076881183625307
1998-09-01,歐元USD/EUR,0.8665511265164645
1998-10-01,歐元USD/EUR,0.8374507997655138
1998-11-01,歐元USD/EUR,0.8582954252853832
1998-12-01,歐元USD/EUR,0.8538251366120219
1999-01-01,歐元USD/EUR,0.8614748449345279
1999-02-01,歐元USD/EUR,0.892379082634303
1999-03-01,歐元USD/EUR,0.9189487226612755
1999-04-01,歐元USD/EUR,0.9342301943198804
1999-05-01,歐元USD/EUR,0.9409993413004611
1999-06-01,歐元USD/EUR,0.9636696540425941
1999-07-01,歐元USD/EUR,0.9662769349695624
1999-08-01,歐元USD/EUR,0.9432182607055273
1999-09-01,歐元USD/EUR,0.9523809523809523
1999-10-01,歐元USD/EUR,0.933968431867003
1999-11-01,歐元USD/EUR,0.9668374746205163
1999-12-01,歐元USD/EUR,0.9891196834817014
2000-01-01,歐元USD/EUR,0.9867771857114662
2000-02-01,歐元USD/EUR,1.0169836265636123
2000-03-01,歐元USD/EUR,1.0370216737529814
2000-04-01,歐元USD/EUR,1.0564124234100993
2000-05-01,歐元USD/EUR,1.103996467211305
2000-06-01,歐元USD/EUR,1.0536297545042672
2000-07-01,歐元USD/EUR,1.06439595529537
2000-08-01,歐元USD/EUR,1.1061946902654867
2000-09-01,歐元USD/EUR,1.1469205184080744
2000-10-01,歐元USD/EUR,1.169864295741694
2000-11-01,歐元USD/EUR,1.1678150181011329
2000-12-01,歐元USD/EUR,1.114951499609767
2001-01-01,歐元USD/EUR,1.065984436627225
2001-02-01,歐元USD/EUR,1.0850694444444444
2001-03-01,歐元USD/EUR,1.0999890001099988
2001-04-01,歐元USD/EUR,1.1213276519398967
2001-05-01,歐元USD/EUR,1.1441647597254005
2001-06-01,歐元USD/EUR,1.172195522213105
2001-07-01,歐元USD/EUR,1.1621150493898895
2001-08-01,歐元USD/EUR,1.110864252388358
2001-09-01,歐元USD/EUR,1.0978153474585575
2001-10-01,歐元USD/EUR,1.103996467211305
2001-11-01,歐元USD/EUR,1.1258725512272012
2001-12-01,歐元USD/EUR,1.1206993163734171
2002-01-01,歐元USD/EUR,1.1323745895142112
2002-02-01,歐元USD/EUR,1.1494252873563218
2002-03-01,歐元USD/EUR,1.1418131993605847
2002-04-01,歐元USD/EUR,1.1289230074508918
2002-05-01,歐元USD/EUR,1.0906314756243864
2002-06-01,歐元USD/EUR,1.0470107842110774
2002-07-01,歐元USD/EUR,1.0080645161290323
2002-08-01,歐元USD/EUR,1.022704029453876
2002-09-01,歐元USD/EUR,1.0195758564437194
2002-10-01,歐元USD/EUR,1.0195758564437194
2002-11-01,歐元USD/EUR,1.0081661457808246
2002-12-01,歐元USD/EUR,0.9823182711198428
2003-01-01,歐元USD/EUR,0.9416195856873822
2003-02-01,歐元USD/EUR,0.9282465422816301
2003-03-01,歐元USD/EUR,0.9255831173639393
2003-04-01,歐元USD/EUR,0.9219988936013277
2003-05-01,歐元USD/EUR,0.864528399757932
2003-06-01,歐元USD/EUR,0.8575593859874797
2003-07-01,歐元USD/EUR,0.879430129276229
2003-08-01,歐元USD/EUR,0.898069151324652
2003-09-01,歐元USD/EUR,0.8915039671926541
2003-10-01,歐元USD/EUR,0.8552856654122477
2003-11-01,歐元USD/EUR,0.8547739123001966
2003-12-01,歐元USD/EUR,0.8137358613394091
2004-01-01,歐元USD/EUR,0.7928956549318109
2004-02-01,歐元USD/EUR,0.7908264136022144
2004-03-01,歐元USD/EUR,0.8155941603458119
2004-04-01,歐元USD/EUR,0.8340979230961715
2004-05-01,歐元USD/EUR,0.8336112037345782
2004-06-01,歐元USD/EUR,0.8238589553468446
2004-07-01,歐元USD/EUR,0.8153281695882594
2004-08-01,歐元USD/EUR,0.8213552361396304
2004-09-01,歐元USD/EUR,0.8185315543914218
2004-10-01,歐元USD/EUR,0.8008328661808282
2004-11-01,歐元USD/EUR,0.7698822080221727
2004-12-01,歐元USD/EUR,0.7476076555023924
2005-01-01,歐元USD/EUR,0.7550018875047187
2005-02-01,歐元USD/EUR,0.7684623069238454
2005-03-01,歐元USD/EUR,0.7582075972401243
2005-04-01,歐元USD/EUR,0.7729767334003246
2005-05-01,歐元USD/EUR,0.7878978884336589
2005-06-01,歐元USD/EUR,0.8220979940808945
2005-07-01,歐元USD/EUR,0.8308408109006314
2005-08-01,歐元USD/EUR,0.8135372600065083
2005-09-01,歐元USD/EUR,0.8160600620205647
2005-10-01,歐元USD/EUR,0.8323622440486099
2005-11-01,歐元USD/EUR,0.848536274925753
2005-12-01,歐元USD/EUR,0.8434547908232118
2006-01-01,歐元USD/EUR,0.8263097008758883
2006-02-01,歐元USD/EUR,0.8376612497905848
2006-03-01,歐元USD/EUR,0.8320159747067144
2006-04-01,歐元USD/EUR,0.8149959250203749
2006-05-01,歐元USD/EUR,0.783146683373796
2006-06-01,歐元USD/EUR,0.7905763301446755
2006-07-01,歐元USD/EUR,0.7884569896712135
2006-08-01,歐元USD/EUR,0.7805791897588011
2006-09-01,歐元USD/EUR,0.7857311228097745
2006-10-01,歐元USD/EUR,0.7929585282689715
2006-11-01,歐元USD/EUR,0.7763975155279503
2006-12-01,歐元USD/EUR,0.7568876778686043
2007-01-01,歐元USD/EUR,0.7693491306354824
2007-02-01,歐元USD/EUR,0.764876854826373
2007-03-01,歐元USD/EUR,0.7552299675251114
2007-04-01,歐元USD/EUR,0.7399186089530152
2007-05-01,歐元USD/EUR,0.7401376656058027
2007-06-01,歐元USD/EUR,0.7452675510508272
2007-07-01,歐元USD/EUR,0.7291286912139993
2007-08-01,歐元USD/EUR,0.7341065922771987
2007-09-01,歐元USD/EUR,0.7197351374694113
2007-10-01,歐元USD/EUR,0.7028888732691361
2007-11-01,歐元USD/EUR,0.6810597289382279
2007-12-01,歐元USD/EUR,0.6859181013786954
2008-01-01,歐元USD/EUR,0.6794863083508867
2008-02-01,歐元USD/EUR,0.6781500067815001
